Date,Open,High,Low,Close,Adjusted_close,Volume
2021-01-04,8.81,8.84,8.43,8.52,8.2955,85043100
2021-01-05,8.47,8.72,8.46,8.65,8.422,70127800
2021-01-06,8.79,8.94,8.68,8.84,8.607,72590200
2021-01-07,8.94,9.08,8.88,9.06,8.8212,77117100
2021-01-08,9.1,9.14,8.89,9,8.7628,59162200
2021-01-11,8.87,9.32,8.82,9.3,9.0549,95968300
2021-01-12,9.3,9.82,9.29,9.78,9.5223,124808500
2021-01-13,9.91,9.92,9.64,9.78,9.5223,89549300
2021-01-14,9.81,10.2,9.79,10.17,9.902,112695300
2021-01-15,10.04,10.05,9.82,9.83,9.571,99985000
2021-01-19,10.06,10.21,9.97,10.02,9.7559,78732800
2021-01-20,10.23,10.87,10.19,10.86,10.5738,125033200
2021-01-21,11.28,12.15,11.12,11.53,11.2262,282394100
2021-01-22,11.66,11.69,11.34,11.52,11.2164,130866600
2021-01-25,11.49,11.52,10.88,11.29,10.9925,118954500
2021-01-26,11.31,11.53,11.12,11.19,10.8951,66267500
2021-01-27,11.02,11.17,10.7,10.79,10.5057,82863000
2021-01-28,10.84,11.05,10.71,10.72,10.4375,77388700
2021-01-29,10.59,10.84,10.45,10.53,10.2525,73925800
2021-02-01,10.65,11.44,10.36,10.83,10.5446,157114400
2021-02-02,11.14,11.2,10.71,10.86,10.5738,80440700
2021-02-03,10.92,11.36,10.84,11.2,10.9048,82968600
2021-02-04,11.4,11.62,11.17,11.37,11.0704,106845000
2021-02-05,11.8,11.9,11.3,11.51,11.2067,113402100
2021-02-08,11.52,11.58,11.31,11.56,11.2554,75756700
2021-02-09,11.54,12.04,11.49,11.93,11.6156,102250800
2021-02-10,12,12.02,11.53,11.76,11.4501,76282500
2021-02-11,11.66,11.74,11.31,11.45,11.1483,55762900
2021-02-12,11.42,11.62,11.37,11.45,11.1483,44401200
2021-02-16,11.5,11.7,11.38,11.54,11.2359,48392100
2021-02-17,11.61,11.61,11.37,11.48,11.1775,49554000
2021-02-18,11.37,11.48,11.3,11.43,11.1288,37777100
