Date,Time,Open,High,Low,Close
4/21/22,8:00,447.94,448,447.85,447.85
4/21/22,8:01,448,448.07,448,448.06
4/21/22,8:02,448.05,448.14,448,448.14
4/21/22,8:03,448.15,448.22,448.13,448.22
4/21/22,8:04,448.14,448.16,448.14,448.16
4/21/22,8:05,448.14,448.14,448.14,448.14
4/21/22,8:06,448.15,448.15,448.15,448.15
4/21/22,8:07,448.13,448.13,448.12,448.12
4/21/22,8:08,448.18,448.18,448.09,448.09
4/21/22,8:09,448.22,448.3,448.22,448.3
4/21/22,8:11,448.13,448.15,448.13,448.15
4/21/22,8:12,448.18,448.26,448.18,448.26
4/21/22,8:14,448.26,448.26,448.26,448.26
4/21/22,8:15,448.29,448.43,448.29,448.34
4/21/22,8:17,448.29,448.29,448.29,448.29
4/21/22,8:18,448.29,448.29,448.21,448.21
4/21/22,8:19,448.32,448.33,448.32,448.33
4/21/22,8:20,448.18,448.18,448.18,448.18
4/21/22,8:21,448.09,448.11,448.09,448.11
4/21/22,8:22,448.18,448.18,448.14,448.14
4/21/22,8:23,448.15,448.15,448.14,448.14
4/21/22,8:26,448.01,448.01,448.01,448.01
4/21/22,8:27,447.99,447.99,447.99,447.99
4/21/22,8:28,448.04,448.04,448.03,448.04
4/21/22,8:29,448.05,448.05,448.05,448.05
4/21/22,8:32,448.09,448.09,448.09,448.09
4/21/22,8:33,448.11,448.11,448.04,448.05
4/21/22,8:34,448.01,448.01,448.01,448.01
4/21/22,8:36,447.98,447.98,447.98,447.98
4/21/22,8:37,448.02,448.02,448.02,448.02
4/21/22,8:38,447.98,447.98,447.98,447.98
4/21/22,8:39,448.03,448.03,448.03,448.03
4/21/22,8:42,448.09,448.09,448.09,448.09
4/21/22,8:47,448.05,448.05,448.05,448.05
4/21/22,8:49,448.1,448.1,448.1,448.1
4/21/22,8:50,448.1,448.1,448.1,448.1
4/21/22,8:51,448.29,448.29,448.29,448.29
4/21/22,8:53,448.37,448.37,448.36,448.36
4/21/22,8:59,448.36,448.36,448.36,448.36
4/21/22,9:00,448.38,448.38,448.32,448.32
4/21/22,9:02,448,448,447.95,447.95
4/21/22,9:03,447.98,447.98,447.98,447.98
4/21/22,9:04,447.95,447.95,447.8,447.8
4/21/22,9:05,447.73,447.73,447.73,447.73
4/21/22,9:06,447.89,447.89,447.89,447.89
4/21/22,9:09,447.86,447.9,447.86,447.9
4/21/22,9:10,447.94,447.94,447.94,447.94
4/21/22,9:12,447.93,447.93,447.93,447.93
4/21/22,9:21,448.03,448.03,448.03,448.03
4/21/22,9:24,448.12,448.12,448.11,448.11
4/21/22,9:25,448.07,448.09,448.06,448.09
4/21/22,9:26,448.09,448.09,448.09,448.09
4/21/22,9:27,448.12,448.12,448.12,448.12
4/21/22,9:31,448,448,448,448
4/21/22,9:32,447.96,447.96,447.96,447.96
4/21/22,9:34,447.9,447.9,447.9,447.9
4/21/22,9:36,447.82,447.82,447.81,447.81
4/21/22,9:37,447.8,447.8,447.6,447.67
4/21/22,9:38,447.55,447.6,447.55,447.6
4/21/22,9:39,447.68,447.69,447.68,447.69
4/21/22,9:40,447.8,447.8,447.8,447.8
4/21/22,9:42,447.75,447.75,447.75,447.75
4/21/22,9:45,447.74,447.74,447.74,447.74
4/21/22,9:46,447.74,447.74,447.7,447.7
4/21/22,9:48,447.81,447.81,447.81,447.81
4/21/22,9:49,447.85,447.85,447.85,447.85
4/21/22,9:56,447.71,447.73,447.71,447.73
4/21/22,10:00,447.73,447.73,447.7,447.7
4/21/22,10:01,447.65,447.65,447.64,447.64
4/21/22,10:03,447.62,447.62,447.62,447.62
4/21/22,10:04,447.62,447.62,447.61,447.62
4/21/22,10:05,447.68,447.68,447.64,447.64
4/21/22,10:08,447.83,447.83,447.83,447.83
4/21/22,10:10,447.91,447.93,447.89,447.91
4/21/22,10:11,447.81,447.84,447.81,447.84
4/21/22,10:13,447.9,447.9,447.9,447.9
4/21/22,10:14,447.9,447.91,447.9,447.91
4/21/22,10:15,447.9,447.9,447.9,447.9
4/21/22,10:16,447.88,447.88,447.88,447.88
4/21/22,10:19,447.97,447.97,447.97,447.97
4/21/22,10:20,447.96,447.96,447.96,447.96
4/21/22,10:21,447.96,447.96,447.96,447.96
4/21/22,10:22,447.96,447.96,447.96,447.96
4/21/22,10:26,448,448,448,448
4/21/22,10:27,448,448.01,448,448.01
4/21/22,10:29,448.09,448.09,448.09,448.09
4/21/22,10:30,448.14,448.16,448.14,448.16
4/21/22,10:31,448.19,448.2,448.19,448.2
4/21/22,10:32,448.18,448.19,448.17,448.19
4/21/22,10:34,448.15,448.27,448.15,448.27
4/21/22,10:35,448.24,448.24,448.24,448.24
4/21/22,10:36,448.2,448.2,448.18,448.2
4/21/22,10:37,448.2,448.2,448.14,448.14
4/21/22,10:39,448.21,448.21,448.21,448.21
4/21/22,10:40,448.2,448.2,448.1,448.1
4/21/22,10:41,448.17,448.17,448.17,448.17
4/21/22,10:42,448.18,448.18,448.18,448.18
4/21/22,10:44,448.25,448.25,448.2,448.23
4/21/22,10:45,448.23,448.23,448.23,448.23
4/21/22,10:47,448.25,448.33,448.25,448.33
4/21/22,10:48,448.4,448.4,448.36,448.36
4/21/22,10:49,448.4,448.41,448.38,448.38
4/21/22,10:51,448.31,448.31,448.18,448.18
4/21/22,10:52,448.29,448.29,448.29,448.29
4/21/22,10:53,448.24,448.26,448.24,448.26
4/21/22,10:54,448.29,448.29,448.29,448.29
4/21/22,10:56,448.29,448.3,448.29,448.3
4/21/22,10:57,448.25,448.25,448.18,448.18
4/21/22,10:58,448.29,448.29,448.22,448.22
4/21/22,10:59,448.22,448.22,448.2,448.2
4/21/22,11:00,448.35,448.35,448.24,448.25
4/21/22,11:02,448.21,448.24,448.17,448.17
4/21/22,11:03,448.17,448.17,448.14,448.14
4/21/22,11:04,448.15,448.23,448.14,448.17
4/21/22,11:05,448.17,448.17,448.1,448.12
4/21/22,11:06,448.08,448.08,448.08,448.08
4/21/22,11:07,448.05,448.06,447.97,447.97
4/21/22,11:08,448.1,448.1,448.08,448.08
4/21/22,11:09,448.1,448.11,448.1,448.11
4/21/22,11:10,448.08,448.1,448.03,448.03
4/21/22,11:11,448.05,448.1,448.04,448.1
4/21/22,11:12,448.03,448.04,448.03,448.04
4/21/22,11:13,448.11,448.11,448.11,448.11
4/21/22,11:14,448.12,448.24,448.12,448.24
4/21/22,11:15,448.19,448.22,448.18,448.18
4/21/22,11:16,448.15,448.21,448.15,448.21
4/21/22,11:17,448.26,448.39,448.26,448.39
4/21/22,11:18,448.42,448.42,448.31,448.31
4/21/22,11:19,448.41,448.41,448.41,448.41
4/21/22,11:20,448.38,448.38,448.37,448.37
4/21/22,11:21,448.37,448.45,448.37,448.45
4/21/22,11:22,448.46,448.48,448.38,448.4
4/21/22,11:23,448.4,448.43,448.4,448.41
4/21/22,11:24,448.4,448.44,448.4,448.44
4/21/22,11:25,448.48,448.5,448.48,448.49
4/21/22,11:26,448.49,448.49,448.46,448.46
4/21/22,11:27,448.52,448.67,448.52,448.56
4/21/22,11:28,448.54,448.54,448.46,448.46
4/21/22,11:29,448.58,448.72,448.52,448.72
4/21/22,11:30,448.7,448.75,448.61,448.64
4/21/22,11:31,448.61,448.61,448.51,448.6
4/21/22,11:32,448.6,448.6,448.56,448.56
4/21/22,11:33,448.5,448.5,448.46,448.48
4/21/22,11:34,448.5,448.62,448.5,448.62
4/21/22,11:35,448.61,448.61,448.54,448.54
4/21/22,11:36,448.53,448.53,448.51,448.51
4/21/22,11:38,448.57,448.58,448.47,448.47
4/21/22,11:39,448.47,448.49,448.47,448.49
4/21/22,11:40,448.49,448.49,448.49,448.49
4/21/22,11:41,448.51,448.56,448.51,448.56
4/21/22,11:42,448.56,448.57,448.56,448.57
4/21/22,11:43,448.53,448.56,448.53,448.56
4/21/22,11:44,448.56,448.56,448.41,448.41
4/21/22,11:45,448.41,448.41,448.37,448.37
4/21/22,11:46,448.38,448.38,448.38,448.38
4/21/22,11:47,448.38,448.39,448.36,448.39
4/21/22,11:49,448.5,448.5,448.5,448.5
4/21/22,11:50,448.41,448.41,448.4,448.4
4/21/22,11:51,448.39,448.39,448.37,448.39
4/21/22,11:52,448.43,448.51,448.43,448.48
4/21/22,11:53,448.47,448.47,448.45,448.45
4/21/22,11:54,448.47,448.61,448.47,448.61
4/21/22,11:55,448.63,448.7,448.6,448.7
4/21/22,11:56,448.75,448.8,448.72,448.73
4/21/22,11:57,448.77,448.77,448.7,448.74
4/21/22,11:58,448.69,448.7,448.69,448.7
4/21/22,11:59,448.71,448.73,448.7,448.7
4/21/22,12:00,448.67,448.8,447.5796,448.76
4/21/22,12:01,446.75,448.81,446.23,448.79
4/21/22,12:02,448.74,448.85,448.74,448.84
4/21/22,12:03,448.77,448.78,448.76,448.77
4/21/22,12:04,448.78,448.79,448.76,448.79
4/21/22,12:05,448.77,448.78,448.7,448.7
4/21/22,12:06,448.71,448.71,448.64,448.64
4/21/22,12:07,448.63,448.63,448.58,448.58
4/21/22,12:08,448.53,448.6,448.53,448.58
4/21/22,12:09,448.66,448.8,448.66,448.69
4/21/22,12:10,448.68,448.7,448.68,448.68
4/21/22,12:11,448.64,448.64,448.6,448.6
4/21/22,12:12,448.6,448.6,448.6,448.6
4/21/22,12:13,448.63,448.63,448.63,448.63
4/21/22,12:14,448.59,448.64,448.59,448.62
4/21/22,12:15,448.62,448.68,448.55,448.55
4/21/22,12:16,448.5,448.5,448.45,448.49
4/21/22,12:17,448.52,448.52,448.5,448.5
4/21/22,12:18,448.5,448.5,448.43,448.43
4/21/22,12:19,448.4,448.4,448.37,448.37
4/21/22,12:20,448.41,448.43,448.39,448.43
4/21/22,12:21,448.44,448.44,448.42,448.42
4/21/22,12:22,448.42,448.44,448.42,448.42
4/21/22,12:23,448.43,448.48,448.4,448.4
4/21/22,12:24,448.43,448.43,448.42,448.43
4/21/22,12:25,448.44,448.47,448.4,448.4
4/21/22,12:26,448.37,448.43,448.37,448.43
4/21/22,12:27,448.44,448.44,448.43,448.43
4/21/22,12:28,448.46,448.49,448.42,448.47
4/21/22,12:29,448.43,448.49,448.4,448.4
4/21/22,12:30,448.47,448.47,448.42,448.42
4/21/22,12:31,448.42,448.53,448.42,448.49
4/21/22,12:32,448.53,448.6,448.53,448.59
4/21/22,12:33,448.58,448.58,448.125,448.125
4/21/22,12:34,448.07,448.26,448.06,448.1595
4/21/22,12:35,448.16,448.26,448.15,448.16
4/21/22,12:36,448.23,448.29,448.16,448.24
4/21/22,12:37,448.25,448.29,448.25,448.25
4/21/22,12:38,448.24,448.36,448.24,448.34
4/21/22,12:39,448.34,448.48,448.34,448.48
4/21/22,12:40,448.47,448.52,448.42,448.42
4/21/22,12:41,448.46,448.54,448.46,448.53
4/21/22,12:42,448.51,448.58,448.51,448.56
4/21/22,12:43,448.56,448.59,448.55,448.59
4/21/22,12:44,448.58,448.59,448.56,448.57
4/21/22,12:45,448.6,448.6,448.54,448.54
4/21/22,12:46,448.53,448.56,448.51,448.55
4/21/22,12:47,448.55,448.57,448.55,448.57
4/21/22,12:48,448.56,448.6,448.56,448.57
4/21/22,12:49,448.56,448.6,448.56,448.57
4/21/22,12:50,448.59,448.59,448.54,448.55
4/21/22,12:51,448.6,448.65,448.6,448.62
4/21/22,12:52,448.62,448.73,448.62,448.72
4/21/22,12:53,448.74,448.76,448.71,448.76
4/21/22,12:54,448.77,448.82,448.76,448.82
4/21/22,12:55,448.72,448.79,448.72,448.78
4/21/22,12:56,448.76,448.76,448.68,448.69
4/21/22,12:57,448.72,448.74,448.69,448.74
4/21/22,12:58,448.73,448.73,448.72,448.72
4/21/22,12:59,448.75,448.86,448.75,448.81
4/21/22,13:00,448.83,448.89,448.77,448.88
4/21/22,13:01,448.89,448.9,448.78,448.78
4/21/22,13:02,448.77,448.77,448.73,448.73
4/21/22,13:03,448.68,448.72,448.68,448.72
4/21/22,13:04,448.69,448.69,448.59,448.59
4/21/22,13:05,448.61,448.65,448.54,448.54
4/21/22,13:06,448.54,448.56,448.53,448.54
4/21/22,13:07,448.56,448.58,448.54,448.54
4/21/22,13:08,448.52,448.6,448.52,448.57
4/21/22,13:09,448.55,448.57,448.54,448.55
4/21/22,13:10,448.6,448.75,448.58,448.75
4/21/22,13:11,448.75,448.76,448.5,448.63
4/21/22,13:12,448.64,448.65,448.5,448.55
4/21/22,13:13,448.55,448.6,448.55,448.6
4/21/22,13:14,448.62,448.62,448.6,448.6
4/21/22,13:15,448.58,448.62,448.53,448.55
4/21/22,13:16,448.59,448.65,448.57,448.65
4/21/22,13:17,448.65,448.72,448.65,448.65
4/21/22,13:18,448.62,448.63,448.55,448.61
4/21/22,13:19,448.68,448.68,448.65,448.66
4/21/22,13:20,448.61,448.61,448.54,448.58
4/21/22,13:21,448.59,448.63,448.59,448.62
4/21/22,13:22,448.61,448.62,448.6,448.62
4/21/22,13:23,448.63,448.63,448.58,448.58
4/21/22,13:24,448.6,448.67,448.6,448.63
4/21/22,13:25,448.63,448.66,448.51,448.63
4/21/22,13:26,448.63,448.63,448.45,448.5
4/21/22,13:27,448.5,448.62,448.47,448.51
4/21/22,13:28,448.54,448.56,448.41,448.48
4/21/22,13:29,448.48,448.59,448.44,448.55
4/21/22,13:30,448.54,449.04,448.54,449.0301
4/21/22,13:31,449.03,449.3,448.86,449.2879
4/21/22,13:32,449.3,449.515,449.23,449.49
4/21/22,13:33,449.48,449.81,449.48,449.665
4/21/22,13:34,449.66,449.8,449.645,449.71
4/21/22,13:35,449.69,449.94,449.43,449.53
4/21/22,13:36,449.54,449.64,449.39,449.42
4/21/22,13:37,449.42,449.52,448.9828,449.015
4/21/22,13:38,449.02,449.21,448.69,449.08
4/21/22,13:39,449.09,449.15,448.96,449.07
4/21/22,13:40,449.09,449.18,448.96,448.99
4/21/22,13:41,448.99,449.12,448.9,449.02
4/21/22,13:42,449.04,449.34,449.03,449.29
4/21/22,13:43,449.3,449.42,449.2,449.311
4/21/22,13:44,449.31,449.425,449.15,449.265
4/21/22,13:45,449.29,449.37,449.055,449.14
4/21/22,13:46,449.15,449.43,448.94,449.42
4/21/22,13:47,449.41,449.47,449.23,449.36
4/21/22,13:48,449.38,449.485,449.18,449.36
