Date,Open,High,Low,Close,Adjusted_close,Volume
2022-01-03,476.3,477.85,473.85,477.71,474.1824,72668234
2022-01-04,479.22,479.98,475.58,477.55,474.0235,71178680
2022-01-05,477.16,477.98,468.2801,468.38,464.9213,104538898
2022-01-06,467.89,470.82,465.43,467.94,464.4845,86858898
2022-01-07,467.95,469.2,464.65,466.09,462.6482,85111594
2022-01-10,462.7,465.74,456.5973,465.51,462.0725,119362000
2022-01-11,465.23,469.85,462.05,469.75,466.2811,74303055
2022-01-12,471.59,473.2,468.94,471.02,467.5418,67605438
2022-01-13,472.19,472.88,463.44,464.53,461.0997,91173117
2022-01-14,461.19,465.09,459.9,464.72,461.2883,95890953
2022-01-18,459.74,459.96,455.31,456.49,453.1191,109872398
2022-01-19,458.13,459.6124,451.46,451.75,448.4141,109357602
2022-01-20,453.75,458.74,444.5,446.75,443.451,122379695
2022-01-21,445.56,448.06,437.95,437.98,434.7458,202271203
2022-01-24,432.03,440.38,420.76,439.84,436.592,252496703
2022-01-25,433.06,439.72,427.15,434.47,431.2617,167997297
2022-01-26,440.72,444.04,428.86,433.38,430.1797,186391109
2022-01-27,438.26,441.59,429.45,431.24,428.0555,149878297
2022-01-28,432.68,442,427.82,441.95,438.6864,164457406
2022-01-31,441.24,450.28,439.81,449.91,446.5877,152251391
2022-02-01,450.68,453.63,446.9384,452.95,449.6052,123155398
2022-02-02,455.5,458.12,453.05,457.35,453.9727,117361000
2022-02-03,450.95,452.97,445.71,446.6,443.3021,118024398
2022-02-04,446.35,452.78,443.83,448.7,445.3866,118454398
2022-02-07,449.51,450.99,445.85,447.26,443.9572,84472867
2022-02-08,446.73,451.92,445.22,450.94,447.61,81012039
2022-02-09,455.22,457.88,455.005,457.54,454.1613,92589930
2022-02-10,451.34,457.71,447.2,449.32,446.002,140103703
2022-02-11,449.41,451.605,438.94,440.46,437.2074,153214594
2022-02-14,439.92,441.6,435.34,439.02,435.7781,123006305
2022-02-15,443.73,446.28,443.18,446.1,442.8058,88659508
2022-02-16,443.93,448.055,441.94,446.6,443.3021,84863594
2022-02-17,443.22,446.5652,436.42,437.06,433.8325,102259102
2022-02-18,437.33,438.66,431.82,434.23,431.0234,132642891
