Date,Open,High,Low,Close,Adjusted_close,Volume
2021-01-04,375.31,375.45,364.82,368.79,361.2488,110210797
2021-01-05,368.1,372.5,368.05,371.33,363.7369,66426234
2021-01-06,369.71,376.98,369.12,373.55,365.9115,107997695
2021-01-07,376.1,379.9,375.91,379.1,371.348,68766805
2021-01-08,380.59,381.49,377.1,381.26,373.4638,71677211
2021-01-11,377.85,380.58,377.7189,378.69,370.9464,51176719
2021-01-12,378.89,379.86,376.36,378.77,371.0248,52547719
2021-01-13,378.69,380.86,377.85,379.79,372.0239,45303621
2021-01-14,380.59,381.13,378.1,378.46,370.7211,49989113
2021-01-15,376.72,377.58,373.7,375.7,368.0175,107160000
2021-01-19,378.34,379.23,376.75,378.65,370.9072,51233301
2021-01-20,381.11,384.79,380.69,383.89,376.0401,61836059
2021-01-21,384.49,384.95,383.25,384.24,376.3829,47955809
2021-01-22,382.25,384.1256,381.835,382.88,375.0507,52136930
2021-01-25,383.67,384.77,378.46,384.39,376.5298,70401969
2021-01-26,385.41,385.85,383.54,383.79,375.9421,42665281
2021-01-27,380.22,380.32,372.01,374.41,366.7539,123351102
2021-01-28,376.36,381.93,375.89,377.63,369.9081,94198094
2021-01-29,375.63,376.67,368.27,370.07,362.5027,126765102
2021-02-01,373.72,377.34,370.376,376.23,368.5367,75817602
2021-02-02,379.65,383.22,376.3181,381.55,373.7479,64450660
2021-02-03,382.435,383.7,380.48,381.85,374.0418,52427090
2021-02-04,382.96,386.24,381.9655,386.19,378.293,47142559
2021-02-05,388.2,388.47,386.1444,387.71,379.7819,48669770
2021-02-08,389.27,390.56,388.35,390.51,382.5247,38365191
2021-02-09,389.61,390.89,389.17,390.25,382.27,35551059
2021-02-10,392.12,392.28,387.5,390.08,382.1035,59154367
2021-02-11,391.24,391.69,388.1,390.71,382.7206,42913289
2021-02-12,389.85,392.9,389.77,392.64,384.6111,50593273
2021-02-16,393.96,394.17,391.53,392.3,384.2781,50972367
2021-02-17,390.42,392.66,389.33,392.39,384.3662,52806680
2021-02-18,389.59,391.515,387.74,390.72,382.7304,59712770
2021-02-19,392.07,392.38,389.55,390.03,382.0545,83240969
2021-02-22,387.06,389.62,386.74,387.03,379.1159,67414172
2021-02-23,384.66,388.945,380.2,387.5,379.5762,107284094
2021-02-24,386.33,392.23,385.27,391.77,383.7589,72433953
2021-02-25,390.41,391.88,380.7789,382.33,374.512,146670500
2021-02-26,384.35,385.58,378.23,380.36,372.5822,152701594
2021-03-01,385.59,390.92,380.572,389.58,381.6137,105348797
2021-03-02,389.82,390.07,386,386.54,378.6359,79595328
2021-03-03,385.79,386.83,381.31,381.42,373.6206,119940203
2021-03-04,381.22,384,371.88,376.7,368.9971,183432984
2021-03-05,380.46,384.76,372.64,383.63,375.7854,152039594
2021-03-08,384.66,387.68,381.42,381.72,373.9144,123149203
2021-03-09,385.85,389.91,381.7299,387.17,379.253,113633602
2021-03-10,389.69,391.4,388.1702,389.58,381.6137,109899398
2021-03-11,392.23,395.65,391.74,393.53,385.4829,86245039
2021-03-12,392.07,394.21,391.2,394.06,386.0021,64653566
2021-03-15,394.33,396.685,392.03,396.41,388.304,73592305
2021-03-16,397.07,397.83,395.08,395.91,387.8143,73722516
2021-03-17,394.53,398.12,393.3,397.26,389.1367,97959273
2021-03-18,394.475,396.72,390.75,391.48,383.4749,115349102
2021-03-19,389.88,391.569,387.15,389.48,382.7651,113624492
2021-03-22,390.03,394.07,389.97,392.59,385.8215,73778648
2021-03-23,391.91,393.46,388.66,389.5,382.7848,90686555
2021-03-24,391,392.75,387.47,387.52,380.8389,97588641
2021-03-25,385.98,390.55,383.9,389.7,382.9813,116128602
2021-03-26,390.93,396.41,390.29,395.98,389.153,114409102
2021-03-29,394.4,396.75,392.81,395.78,388.9565,108107602
2021-03-30,394.42,395.45,393.02,394.73,387.9246,76262250
2021-03-31,395.34,398,395.31,396.33,389.497,112734203
2021-04-01,398.4,400.67,398.18,400.61,393.7032,99682883
2021-04-05,403.46,406.94,403.38,406.36,399.3541,91684758
2021-04-06,405.76,407.24,405.4,406.12,399.1182,62020953
2021-04-07,405.94,406.96,405.45,406.59,399.5801,55836281
2021-04-08,407.93,408.58,406.93,408.52,401.4768,57863113
2021-04-09,408.39,411.67,408.26,411.49,404.3956,61104559
2021-04-12,410.85,411.93,410.2,411.64,404.543,56704898
2021-04-13,411.53,413.529,411.12,412.86,405.742,56550992
2021-04-14,412.83,413.96,410.87,411.45,404.3563,61659910
2021-04-15,413.74,416.16,413.69,415.87,408.7001,60229840
2021-04-16,417.25,417.91,415.73,417.26,410.0662,82037281
2021-04-19,416.26,416.74,413.79,415.21,408.0515,78498492
2021-04-20,413.91,415.0859,410.59,412.17,405.0639,81851828
2021-04-21,411.51,416.29,411.36,416.07,408.8967,66792977
2021-04-22,415.89,416.78,411.13,412.27,405.1622,97582789
2021-04-23,412.87,418.25,412.79,416.74,409.5551,73276203
2021-04-26,417.44,418.22,416.8111,417.61,410.4101,52182391
2021-04-27,417.93,418.14,416.3,417.52,410.3217,51303059
2021-04-28,417.81,419.01,416.9,417.4,410.2037,51238848
2021-04-29,420.32,420.72,416.44,420.06,412.8179,78544328
2021-04-30,417.63,418.54,416.34,417.3,410.1055,85527031
2021-05-03,419.43,419.84,417.665,418.2,410.9899,68128289
2021-05-04,416.07,416.6,411.67,415.62,408.4544,101591203
2021-05-05,417.38,417.63,414.94,415.75,408.5822,60162207
2021-05-06,415.83,419.21,413.675,419.07,411.8449,74321367
2021-05-07,419.89,422.815,419.16,422.12,414.8424,67733789
2021-05-10,422.5,422.74,417.81,417.94,410.7344,81852445
2021-05-11,413.1,415.27,410.06,414.21,407.0687,116888000
2021-05-12,411.23,412.59,404,405.41,398.4205,134811016
2021-05-13,407.07,412.35,407.02,410.28,403.2065,106394000
2021-05-14,413.21,417.49,413.18,416.58,409.3979,82201633
2021-05-17,415.39,416.39,413.36,415.52,408.3562,64882406
2021-05-18,415.8,416.06,411.77,411.94,404.8379,59810238
2021-05-19,406.92,411.05,405.33,410.86,403.7765,106467102
2021-05-20,411.8,416.625,411.67,415.28,408.1203,78022227
2021-05-21,416.87,418.2,414.45,414.94,407.7862,76578656
2021-05-24,417.34,420.32,417.08,419.17,411.9432,51376699
2021-05-25,420.33,420.71,417.62,418.24,411.0293,57451398
2021-05-26,418.87,419.61,417.76,419.07,411.8449,43088621
2021-05-27,420.17,420.72,418.9851,419.29,412.0612,56707680
2021-05-28,420.97,421.25,419.79,420.04,412.7982,58520160
2021-06-01,422.57,422.72,419.2,419.67,412.4346,54216633
2021-06-02,420.37,421.23,419.29,420.33,413.0832,49097059
2021-06-03,417.85,419.99,416.28,418.77,411.5501,58138762
2021-06-04,420.75,422.92,418.8422,422.6,415.3141,55938793
2021-06-07,422.59,422.78,421.19,422.19,414.9112,51555031
2021-06-08,423.11,423.21,420.32,422.28,414.9996,47134281
2021-06-09,423.18,423.26,421.41,421.65,414.3805,48436340
2021-06-10,422.96,424.63,421.55,423.61,416.3067,51020152
2021-06-11,424.2,424.43,422.82,424.31,416.9946,45570832
2021-06-14,424.43,425.37,423.1,425.26,417.9282,42358480
2021-06-15,425.42,425.46,423.54,424.48,417.1617,51508512
2021-06-16,424.63,424.87,419.92,422.11,414.8325,80386078
2021-06-17,421.67,423.02,419.32,421.97,414.6949,90949664
2021-06-18,417.09,417.8281,414.7,414.92,409.1004,118676305
2021-06-21,416.8,421.06,415.93,420.86,414.9571,72822031
2021-06-22,420.85,424,420.08,423.11,417.1755,57700301
2021-06-23,423.19,424.05,422.51,422.6,416.6727,49445406
2021-06-24,424.89,425.55,424.62,425.1,419.1376,45110289
2021-06-25,425.9,427.0943,425.55,426.61,420.6265,58129527
2021-06-28,427.17,427.65,425.89,427.47,421.4744,53159578
2021-06-29,427.88,428.56,427.13,427.7,421.7012,35970520
2021-06-30,427.21,428.78,427.18,428.06,422.0561,64827859
2021-07-01,428.87,430.6,428.8,430.43,424.3929,53441031
2021-07-02,431.67,434.1,430.5218,433.72,427.6367,57697672
2021-07-06,433.78,434.01,430.01,432.93,426.8578,68710414
2021-07-07,433.66,434.76,431.51,434.46,428.3663,63549461
2021-07-08,428.78,431.73,427.52,430.92,424.876,97595234
2021-07-09,432.53,435.84,430.714,435.52,429.4115,76238578
2021-07-12,435.43,437.35,434.97,437.08,430.9496,52889594
2021-07-13,436.24,437.84,435.31,435.59,429.4805,52911312
2021-07-14,437.4,437.92,434.91,436.24,430.1214,64130352
2021-07-15,434.81,435.53,432.72,434.75,428.6523,55126359
2021-07-16,436.01,436.06,430.92,431.34,425.2901,75874656
2021-07-19,426.19,431.4089,421.97,424.97,419.0095,147987016
2021-07-20,425.68,432.42,424.83,431.06,425.014,99608172
2021-07-21,432.34,434.7,431.0111,434.55,428.4551,64724391
2021-07-22,434.74,435.72,433.69,435.46,429.3523,47878539
2021-07-23,437.52,440.3,436.79,439.94,433.7695,63766641
2021-07-26,439.31,441.03,439.26,441.02,434.8343,43719191
2021-07-27,439.91,439.94,435.99,439.01,432.8525,67397133
2021-07-28,439.68,440.3,437.31,438.83,432.6751,52472359
2021-07-29,439.815,441.8,439.81,440.65,434.4695,47435340
2021-07-30,437.91,440.06,437.77,438.51,432.3595,68951203
2021-08-02,440.34,440.93,437.21,437.59,431.4524,58783301
2021-08-03,438.44,441.28,436.1,441.15,434.9625,58053898
2021-08-04,439.78,441.1243,438.73,438.98,432.823,46732207
2021-08-05,440.22,441.85,439.88,441.76,435.564,38969660
2021-08-06,442.1,442.94,441.8,442.49,436.2837,46930008
2021-08-09,442.46,442.795,441.31,442.13,435.9288,41222594
2021-08-10,442.61,443.44,441.88,442.68,436.4711,43339281
2021-08-11,443.82,443.882,442.62,443.78,437.5556,44034340
2021-08-12,443.62,445.2572,442.66,445.11,438.867,38942422
2021-08-13,445.59,445.94,445.07,445.92,439.6656,39470246
2021-08-16,444.53,447.11,442.87,446.97,440.7009,73930867
2021-08-17,444.24,444.96,440.85,444.04,437.812,92673930
2021-08-18,442.96,444.625,438.92,439.18,433.0201,89351930
2021-08-19,436.27,441.14,436.12,439.86,433.6906,92812250
2021-08-20,440.23,443.71,439.71,443.36,437.1415,72008711
2021-08-23,445.16,448.23,443.4355,447.26,440.9868,54973039
2021-08-24,447.97,448.54,447.42,447.97,441.6869,38744711
